,Tn,Tx,Tavg,RH_avg,ff_x,ddd_x,ddd_car,bulan,RH_avg_5day,RH1,RH2,RH3,ff_x1,ff_x2,ff_x3,RR_avg5_day,RR1,RR2,RR3,RR
0,24.7,29.4,26.5,85.0,7.0,240.0,7,2,80.4,81.0,80.0,80.0,7.0,9.0,9.0,3.56,2.5,0.8,1.7,0.2
1,25.0,32.2,27.5,83.0,7.0,120.0,5,2,81.0,80.0,80.0,85.0,9.0,9.0,7.0,3.48,0.8,1.7,0.2,16.1
2,25.2,32.5,27.4,81.0,10.0,100.0,8,2,81.8,80.0,85.0,83.0,9.0,7.0,7.0,4.26,1.7,0.2,16.1,8.339130435
3,25.0,32.0,27.2,82.0,6.0,100.0,3,2,81.8,85.0,83.0,81.0,7.0,7.0,10.0,5.427826087000001,0.2,16.1,8.339130435,0.0
4,24.2,32.2,28.1,82.0,7.0,200.0,5,2,82.2,83.0,81.0,82.0,7.0,10.0,6.0,5.2678260869999995,16.1,8.339130435,0.0,7.7
5,24.0,32.6,29.3,78.0,6.0,130.0,4,2,82.6,81.0,82.0,82.0,10.0,6.0,7.0,6.467826087000001,8.339130435,0.0,7.7,8.339130435
6,26.0,33.0,28.2,82.0,11.0,340.0,7,2,81.2,82.0,82.0,78.0,6.0,7.0,6.0,8.095652174,0.0,7.7,8.339130435,1.8
7,25.0,32.4,27.2,83.0,12.0,220.0,7,2,81.0,82.0,78.0,82.0,7.0,6.0,11.0,5.235652174,7.7,8.339130435,1.8,1.0
8,24.0,32.0,26.8,87.0,9.0,315.0,4,2,81.4,78.0,82.0,83.0,6.0,11.0,12.0,3.767826087,8.339130435,1.8,1.0,67.5
9,23.9,31.2,27.5,82.0,8.0,130.0,3,2,82.4,82.0,83.0,87.0,11.0,12.0,9.0,17.26782609,1.8,1.0,67.5,8.1
10,24.6,32.0,28.3,80.0,6.0,150.0,7,2,82.4,83.0,87.0,82.0,12.0,9.0,8.0,17.34782609,1.0,67.5,8.1,0.0
11,25.5,32.2,27.9,83.0,9.0,160.0,8,2,82.8,87.0,82.0,80.0,9.0,8.0,6.0,15.68,67.5,8.1,0.0,8.339130435
12,25.6,32.2,28.0,84.0,8.0,140.0,8,2,83.0,82.0,80.0,83.0,8.0,6.0,9.0,16.98782609,8.1,0.0,8.339130435,8.339130435
13,25.6,27.4,26.1,91.0,6.0,290.0,5,2,83.2,80.0,83.0,84.0,6.0,9.0,8.0,18.45565217,0.0,8.339130435,8.339130435,24.2
14,24.0,30.8,26.9,86.0,6.0,340.0,7,2,84.0,83.0,84.0,91.0,9.0,8.0,6.0,9.795652173999999,8.339130435,8.339130435,24.2,10.7
